context_ids,target_id
0 1 2 3 5 6 7 8,4
1 2 3 4 6 7 8 9,5
2 3 4 5 7 8 9 10,6
3 4 5 6 8 9 10 11,7
4 5 6 7 9 10 11 12,8
5 6 7 8 10 11 12 13,9
6 7 8 9 11 12 13 14,10
7 8 9 10 12 13 14 15,11
8 9 10 11 13 14 15 16,12
9 10 11 12 14 15 16 17,13
10 11 12 13 15 16 17 18,14
11 12 13 14 16 17 18 10,15
12 13 14 15 17 18 10 19,16
13 14 15 16 18 10 19 20,17
14 15 16 17 10 19 20 21,18
15 16 17 18 19 20 21 22,10
16 17 18 10 20 21 22 23,19
17 18 10 19 21 22 23 24,20
18 10 19 20 22 23 24 25,21
10 19 20 21 23 24 25 26,22
19 20 21 22 24 25 26 27,23
20 21 22 23 25 26 27 28,24
21 22 23 24 26 27 28 29,25
22 23 24 25 27 28 29 30,26
23 24 25 26 28 29 30 31,27
24 25 26 27 29 30 31 10,28
25 26 27 28 30 31 10 32,29
26 27 28 29 31 10 32 33,30
27 28 29 30 10 32 33 34,31
28 29 30 31 32 33 34 35,10
29 30 31 10 33 34 35 36,32
30 31 10 32 34 35 36 37,33
31 10 32 33 35 36 37 38,34
10 32 33 34 36 37 38 39,35
32 33 34 35 37 38 39 40,36
33 34 35 36 38 39 40 41,37
